,Category,Attribute,Golden Gate Park_2000,Golden Gate Park_2010,Golden Gate Park_2011,Golden Gate Park_2012,Golden Gate Park_2013,Golden Gate Park_2014,Golden Gate Park_2015,Golden Gate Park_2016,Golden Gate Park_2017,Golden Gate Park_2018,Golden Gate Park_2019,Golden Gate Park_2020,Golden Gate Park_2021,Golden Gate Park_2022
63,Income,"Percent in Poverty by Race, Black or African American Alone",0.0,,,,,,,,,,,,,
64,Educational Attainment,"Some College/Associate Degree by Race, American Indian and Alaska Native Alone",1.0,,,,,,,,,,,,,
65,Age,18-34 Years,0.0547945205479452,,,,,,,,,,,,,
66,Journey to Work,Journey to Work by Drove Alone,,,,,,,,,,,,,,
67,Vehicles Available,Households with no Vehicle,0.1818181818181818,,,,,,,,,,,,,
68,Housing,"Owner Occupied by Race, Two or More Races",0.0,,,,,,,,,,,,,
69,Housing Type,20 Units or More,0.7575757575757576,,,,,,,,,,,,,
70,Housing Type,Single Family Housing,0.0,,,,,,,,,,,,,
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",,,,,,,,,,,,,,
72,Income,"Percent in Poverty by Race, American Indian and Alaska Native Alone",0.0,,,,,,,,,,,,,
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.0,,,,,,,,,,,,,
74,Educational Attainment,"Some College/Associate Degree by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,
75,Educational Attainment,"Some College/Associate Degree by Race, Black or African American Alone",1.0,,,,,,,,,,,,,
76,Educational Attainment,"High School or Less by Race, Asian Alone",,,,,,,,,,,,,,
77,Nativity,Foreign Born,0.0,,,,,,,,,,,,,
78,Educational Attainment,"High School or Less by Race, Black or African American Alone",0.0,,,,,,,,,,,,,
79,Journey to Work,Journey to Work by Car,,,,,,,,,,,,,,
80,Housing Prices,Rent Burdened,0.7575757575757576,,,,,,,,,,,,,
81,Age,35-59 Years,0.863013698630137,,,,,,,,,,,,,
82,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.0,,,,,,,,,,,,,
83,Housing,"Owner Occupied by Race, White Alone",0.0,,,,,,,,,,,,,
84,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",0.0,,,,,,,,,,,,,
85,Households,"Single Person Households, % of Total",0.5135135135135135,,,,,,,,,,,,,
86,Educational Attainment,"High School or Less by Race, Hispanic or Latino",,,,,,,,,,,,,,
87,Housing,Owner Occupied,0.0,,,,,,,,,,,,,
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",,,,,,,,,,,,,,
89,Vehicles Available,Percent of No Vehicle Renting Households,0.1818181818181818,,,,,,,,,,,,,
90,Housing,"Renter Occupied by Race, Asian Alone",0.2424242424242424,,,,,,,,,,,,,
91,Vehicles Available,Vehicles Renters,1.0,,,,,,,,,,,,,
92,Employment,Managerial Professional,0.3166666666666667,,,,,,,,,,,,,
93,Vehicles Available,Vehicles Per Capita,0.3698630136986301,,,,,,,,,,,,,
94,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,
95,Educational Attainment,"High School or Less by Race, Some Other Race Alone",,,,,,,,,,,,,,
96,Households,Family Households,0.2972972972972973,,,,,,,,,,,,,
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",,,,,,,,,,,,,,
98,Housing,"Owner Occupied by Race, Asian Alone",0.0,,,,,,,,,,,,,
99,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",0.0,,,,,,,,,,,,,
100,Households,Non-Family Households,0.7027027027027027,,,,,,,,,,,,,
101,Vehicles Available,Vehicles Homeowners,0.0,,,,,,,,,,,,,
102,Language Spoken at Home,English Only,0.9104477611940298,,,,,,,,,,,,,
103,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",1.0,,,,,,,,,,,,,
104,Housing,"Renter Occupied by Race, White Alone",0.0,,,,,,,,,,,,,
105,Housing,Renter Occupied,1.0,,,,,,,,,,,,,
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",1.0,,,,,,,,,,,,,
107,Housing,"Renter Occupied by Race, Two or More Races",0.0,,,,,,,,,,,,,
108,Housing,"Renter Occupied by Race, Black or African American Alone",0.7575757575757576,,,,,,,,,,,,,
109,Housing,"Renter Occupied by Race, Hispanic or Latino",,,,,,,,,,,,,,
110,Housing,"Renter Occupied by Race, Some Other Race Alone",0.0,,,,,,,,,,,,,
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.5,,,,,,,,,,,,,
112,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,,,,,,,,,,,,,
113,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",0.0,,,,,,,,,,,,,
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.5,,,,,,,,,,,,,
115,Households,Average Household Size,1.297297297297297,,,,,,,,,,,,,
116,Households,Average Family Household Size,1.545454545454545,,,,,,,,,,,,,
117,Housing Prices,Home Value 35000 to 39999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Income,"Household Income 30000 to 34999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Housing Prices,Home Value 20000 to 24999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Income,"Household Income 50000 to 59999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Income,"Household Income 45000 to 49999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
122,Income,"Household Income 35000 to 39999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
123,Housing Prices,Home Value 60000 to 69999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Income,"Household Income 10000 to 14999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Income,"Household Income 75000 to 99999 by Race, American Indian and Alaska Native Alone",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Income,"Household Income 40000 to 44999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Housing Prices,Median Rent as % of Household Income,44.54166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Income,"Household Income 30000 to 34999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Income,"Household Income 125000 to 149999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Income,"Household Income 20000 to 24999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Housing Prices,Home Value 80000 to 89999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Housing Prices,Home Value 70000 to 79999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Income,"Household Income 10000 to 14999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Income,"Household Income Less than 10000 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Income,"Household Income 25000 to 29999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Income,"Household Income 35000 to 39999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Income,"Household Income 15000 to 19999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Income,"Household Income 150000 to 199999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Housing Prices,Home Value 40000 to 49999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Income,"Household Income 15000 to 19999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Housing Prices,Home Value 25000 to 29999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Housing Prices,Home Value 90000 to 99999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Income,"Household Income 100000 to 124999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Housing Prices,Home Value 175000 to 199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Housing Prices,Home Value 15000 to 19999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Housing Prices,Home Value 50000 to 59999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Income,"Household Income 100000 to 124999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Income,"Household Income 25000 to 29999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Housing Prices,Home Value 125000 to 149999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Income,"Household Income 45000 to 49999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Income,"Household Income Less than 10000 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Income,"Household Income 60000 to 74999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Income,"Household Income 75000 to 99999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Income,"Household Income 50000 to 59999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Income,"Household Income 60000 to 74999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Income,"Household Income 125000 to 149999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Income,"Household Income 150000 to 199999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Income,"Household Income Greater than 200000 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Housing Prices,Home Value 10000 to 14999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Income,"Household Income 20000 to 24999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Housing Prices,Rent 100 to 149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Income,"Household Income Greater than 200000 by Race, Native Hawaiian and Other Pacific Islander Alone",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Income,"Household Income 30000 to 34999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Housing Prices,Home Value 150000 to 174999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Income,"Household Income 40000 to 44999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Income,"Household Income 35000 to 39999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Housing Prices,Rent Less than 100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Income,"Household Income 40000 to 44999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Income,"Household Income 35000 to 39999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Income,"Household Income 20000 to 24999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Income,"Household Income 45000 to 49999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Housing Prices,Home Value 250000 to 299999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Income,"Household Income 20000 to 24999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Income,"Household Income 35000 to 39999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Income,"Household Income 30000 to 34999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Income,"Household Income 15000 to 19999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Housing Prices,Rent 150 to 199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Housing Prices,Home Value 200000 to 249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Housing Prices,Contract Rent 100 to 149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Income,"Household Income 45000 to 49999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Income,"Household Income 40000 to 44999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Income,"Household Income 30000 to 34999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Income,"Household Income 25000 to 29999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Housing Prices,Contract Rent Less than 100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Income,"Household Income 20000 to 24999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Income,"Household Income 100000 to 124999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Income,"Household Income 45000 to 49999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Income,"Household Income 25000 to 29999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Income,"Household Income 35000 to 39999 by Race, Hispanic or Latino",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Income,"Household Income 25000 to 29999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Income,"Household Income 40000 to 44999 by Race, Hispanic or Latino",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Income,"Household Income 15000 to 19999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Income,"Household Income 15000 to 19999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Housing Prices,Home Value 100000 to 124999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Income,"Household Income 125000 to 149999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Income,"Household Income 50000 to 59999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Income,"Household Income 30000 to 34999 by Race, Hispanic or Latino",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Income,"Household Income 60000 to 74999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Income,"Household Income Less than 10000 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Income,"Household Income Less than 10000 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Income,"Household Income 150000 to 199999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Income,"Household Income 50000 to 59999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Income,"Household Income 45000 to 49999 by Race, Hispanic or Latino",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Income,"Household Income 10000 to 14999 by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Income,"Households Total for Income by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Housing Prices,Contract Rent 150 to 199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Income,"Household Income 10000 to 14999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Housing Prices,Contract Rent 400 to 449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Housing Prices,Home Value Less than 10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Income,"Household Income 50000 to 59999 by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Income,"Household Income 20000 to 24999 by Race, Hispanic or Latino",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Income,"Household Income 75000 to 99999 by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Housing Prices,Rent 450 to 499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Income,"Household Income 15000 to 19999 by Race, Hispanic or Latino",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
