,Category,Attribute,Financial District_2020,Financial District_2021,Financial District_2022
87,Housing,Owner Occupied,0.3759505306258878,0.3349598875196427,0.3260351847583929
48,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",,0.0,0.1904761904761905
98,Housing,"Owner Occupied by Race, Asian Alone",0.4298982750995135,0.3199639477242001,0.3383777239709443
55,Housing,"Owner Occupied by Race, Black or African American Alone",0.0,0.1461988304093567,0.1682692307692308
62,Housing,"Owner Occupied by Race, Hispanic or Latino",0.3291338582677165,0.3362962962962963,0.22
57,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.1262135922330097
59,Housing,"Owner Occupied by Race, Some Other Race Alone",0.0,0.0,0.0
68,Housing,"Owner Occupied by Race, Two or More Races",0.09090909090909091,0.08633093525179857,0.1673728813559322
83,Housing,"Owner Occupied by Race, White Alone",0.3723122238586156,0.3796146492131196,0.3530774800868935
84,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",0.3653636505217256,0.36550339715874,0.3527391915092867
374,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,5055.0,5617.0,5915.0
391,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,2413.0,2413.0,2844.0
105,Housing,Renter Occupied,0.6240494693741121,0.6650401124803573,0.6739648152416071
113,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",,1.0,0.9444444444444444
90,Housing,"Renter Occupied by Race, Asian Alone",0.5701017249004865,0.6800360522757999,0.6479479374409572
108,Housing,"Renter Occupied by Race, Black or African American Alone",1.0,0.8538011695906432,0.7338709677419355
109,Housing,"Renter Occupied by Race, Hispanic or Latino",0.6708661417322834,0.6637037037037037,0.7836225596529284
112,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",1.0,1.0,0.9022556390977443
110,Housing,"Renter Occupied by Race, Some Other Race Alone",1.0,1.0,1.0
107,Housing,"Renter Occupied by Race, Two or More Races",0.9090909090909091,0.9136690647482014,0.8685047720042418
104,Housing,"Renter Occupied by Race, White Alone",0.6276877761413844,0.6203853507868804,0.626480580295657
103,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",0.6346363494782744,0.6344966028412601,0.6339311967068509
407,Housing,Total Number of Units,15240.0,15848.0,16601.0
36,Housing,Vacant Units,0.2147637795275591,0.2370646138313983,0.2158906089994579
179,Housing Prices,Contract Rent 100 to 149,0.0,0.0,0.0
339,Housing Prices,Contract Rent 1000 to 1249,962.0,1145.0,599.0
334,Housing Prices,Contract Rent 1250 to 1499,111.0,425.0,718.0
206,Housing Prices,Contract Rent 150 to 199,0.0,0.0,0.0
359,Housing Prices,Contract Rent 1500 to 1999,624.0,455.0,468.0
249,Housing Prices,Contract Rent 200 to 249,31.0,0.0,81.0
361,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",470.0,611.0,713.0
291,Housing Prices,Contract Rent 250 to 299,39.0,66.0,31.0
351,Housing Prices,Contract Rent 2500 to 2999 (ACS2015-),683.0,715.0,833.0
307,Housing Prices,Contract Rent 300 to 349,43.0,62.0,25.0
348,Housing Prices,Contract Rent 3000 to 3499 (ACS2015-),1490.0,1364.0,1610.0
234,Housing Prices,Contract Rent 350 to 399,34.0,2.0,24.0
369,Housing Prices,Contract Rent 3500 or more (ACS2015-),1962.0,2274.0,3003.0
208,Housing Prices,Contract Rent 400 to 449,51.0,45.0,0.0
229,Housing Prices,Contract Rent 500 to 549,170.0,200.0,40.0
232,Housing Prices,Contract Rent 550 to 599,102.0,110.0,0.0
265,Housing Prices,Contract Rent 600 to 649,50.0,101.0,116.0
226,Housing Prices,Contract Rent 650 to 699,49.0,85.0,62.0
219,Housing Prices,Contract Rent 700 to 749,9.0,41.0,43.0
248,Housing Prices,Contract Rent 750 to 749,30.0,0.0,76.0
218,Housing Prices,Contract Rent 750 to 799,0.0,61.0,0.0
289,Housing Prices,Contract Rent 800 to 899,81.0,81.0,61.0
305,Housing Prices,Contract Rent 900 to 999,331.0,74.0,91.0
184,Housing Prices,Contract Rent Less than 100,73.0,0.0,0.0
400,Housing Prices,Contract Rent Total,7468.0,8041.0,8773.0
303,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),73.0,124.0,179.0
352,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",683.0,715.0,833.0
398,Housing Prices,Contract Rent Total With cash Rent,7395.0,7917.0,8594.0
43,Housing Prices,Extremely Rent Burdened,0.1297536154258168,0.1208804875015545,0.1283483415023367
159,Housing Prices,Home Value 10000 to 14999 ,0.0,0.0,0.0
194,Housing Prices,Home Value 100000 to 124999,0.0,0.0,13.0
368,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)",1248.0,1287.0,1345.0
149,Housing Prices,Home Value 125000 to 149999,0.0,0.0,0.0
145,Housing Prices,Home Value 15000 to 19999 ,0.0,0.0,0.0
164,Housing Prices,Home Value 150000 to 174999,0.0,0.0,0.0
358,Housing Prices,Home Value 1500000 to 1999999 (ACS2015-),1223.0,958.0,966.0
144,Housing Prices,Home Value 175000 to 199999,0.0,0.0,0.0
119,Housing Prices,Home Value 20000 to 24999 ,0.0,0.0,0.0
178,Housing Prices,Home Value 200000 to 249999,0.0,0.0,0.0
362,Housing Prices,Home Value 2000000 or more (ACS2015-),812.0,769.0,964.0
141,Housing Prices,Home Value 25000 to 29999 ,47.0,54.0,45.0
172,Housing Prices,Home Value 250000 to 299999,174.0,203.0,0.0
412,Housing Prices,Home Value 30000 to 34999 ,,,
253,Housing Prices,Home Value 300000 to 399999,68.0,92.0,268.0
117,Housing Prices,Home Value 35000 to 39999 ,0.0,0.0,0.0
139,Housing Prices,Home Value 40000 to 49999 ,0.0,0.0,0.0
255,Housing Prices,Home Value 400000 to 499999,44.0,46.0,172.0
146,Housing Prices,Home Value 50000 to 59999 ,0.0,0.0,0.0
316,Housing Prices,Home Value 500000 to 749999,267.0,196.0,19.0
123,Housing Prices,Home Value 60000 to 69999 ,0.0,0.0,0.0
132,Housing Prices,Home Value 70000 to 79999 ,128.0,117.0,0.0
344,Housing Prices,Home Value 750000 to 999999,448.0,268.0,368.0
131,Housing Prices,Home Value 80000 to 89999 ,0.0,0.0,0.0
142,Housing Prices,Home Value 90000 to 99999 ,0.0,0.0,0.0
209,Housing Prices,Home Value Less than 10000,40.0,60.0,84.0
389,Housing Prices,Home Value Total,4499.0,4050.0,4244.0
252,Housing Prices,Median Contract Rent,2820.278184480234,2775.874125874126,3098.136645962733
261,Housing Prices,Median Gross Rent by Bedrooms - 1 Bedroom- COUNTY ONLY,3309.63356225739,3338.384134762634,2856.374206832794
275,Housing Prices,Median Gross Rent by Bedrooms - 2 Bedrooms- COUNTY ONLY,2224.309848854217,3020.291581943879,3224.835761812516
310,Housing Prices,Median Gross Rent by Bedrooms - 3-4 Bedrooms- COUNTY ONLY,,,
244,Housing Prices,Median Gross Rent by Bedrooms - 5 Bedrooms or more- COUNTY ONLY,,827.0,816.0
242,Housing Prices,Median Gross Rent by Bedrooms - No Bedroom- COUNTY ONLY,2651.046769748928,2767.750074382624,2818.490103794596
411,Housing Prices,Median Home Value,1414062.5,1384226.884226884,1428624.535315985
257,Housing Prices,Median Rent,2852.377300613497,2872.464898595944,3180.820948336872
127,Housing Prices,Median Rent as % of Household Income,20.08271028037383,20.34051054384018,20.95881341358555
161,Housing Prices,Rent 100 to 149,29.0,0.0,0.0
332,Housing Prices,Rent 1000 to 1249,985.0,1042.0,511.0
337,Housing Prices,Rent 1250 to 1499,373.0,591.0,803.0
177,Housing Prices,Rent 150 to 199,0.0,0.0,0.0
357,Housing Prices,Rent 1500 to 1999,610.0,419.0,412.0
216,Housing Prices,Rent 200 to 249,17.0,0.0,68.0
360,Housing Prices,"Rent 2000 to 2499  (Rent 2000 or more, DEC2000 and ACS2009-2014)",471.0,589.0,716.0
281,Housing Prices,Rent 250 to 299,39.0,15.0,44.0
354,Housing Prices,Rent 2500 to 2999 (ACS2015-),652.0,641.0,756.0
313,Housing Prices,Rent 300 to 349,0.0,16.0,25.0
349,Housing Prices,Rent 3000 to 3499 (ACS2015-),1463.0,1134.0,1413.0
251,Housing Prices,Rent 350 to 399,25.0,2.0,24.0
371,Housing Prices,Rent 3500 or more (ACS2015-),2042.0,2661.0,3395.0
223,Housing Prices,Rent 400 to 449,40.0,60.0,0.0
213,Housing Prices,Rent 450 to 499,108.0,21.0,0.0
239,Housing Prices,Rent 500 to 549,60.0,207.0,9.0
238,Housing Prices,Rent 550 to 599,161.0,86.0,62.0
228,Housing Prices,Rent 600 to 649,58.0,186.0,73.0
220,Housing Prices,Rent 650 to 699,8.0,46.0,100.0
224,Housing Prices,Rent 700 to 749,43.0,7.0,60.0
227,Housing Prices,Rent 750 to 799,39.0,107.0,7.0
288,Housing Prices,Rent 800 to 899,45.0,48.0,63.0
293,Housing Prices,Rent 900 to 999,83.0,39.0,53.0
80,Housing Prices,Rent Burdened,0.3358328869844671,0.3310533515731874,0.3135757437592614
167,Housing Prices,Rent Less than 100,44.0,0.0,0.0
399,Housing Prices,Rent Total,7468.0,8041.0,8773.0
353,Housing Prices,"Rent Total No cash rent  (No cash rent, DEC2000 and ACS2009-2014)",652.0,641.0,756.0
304,Housing Prices,Rent Total No cash rent (ACS2015-),73.0,124.0,179.0
397,Housing Prices,Rent Total With cash rent,7395.0,7917.0,8594.0
24,Housing Type,10-19 Units,0.01299212598425197,0.01779404341241797,0.02656466477923017
51,Housing Type,2-4 Units,0.0009186351706036745,0.002082281675921252,0.008071802903439552
69,Housing Type,20 Units or More,0.9279527559055119,0.9055401312468451,0.8965122582976929
27,Housing Type,5-9 Units,0.006692913385826772,0.007004038364462392,0.009035600265044274
0,Housing Type,Other Type,0.0,0.0006940938919737506,0.0008433226914041323
70,Housing Type,Single Family Housing,0.05144356955380577,0.0668854114083796,0.05897235106318897
341,Income,Household Income 10000 to 14999,207.0,155.0,167.0
133,Income,"Household Income 10000 to 14999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
311,Income,"Household Income 10000 to 14999 by Race, Asian Alone",79.0,30.0,46.0
256,Income,"Household Income 10000 to 14999 by Race, Black or African American Alone",0.0,12.0,63.0
237,Income,"Household Income 10000 to 14999 by Race, Hispanic or Latino",0.0,0.0,22.0
124,Income,"Household Income 10000 to 14999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
207,Income,"Household Income 10000 to 14999 by Race, Some Other Race Alone",0.0,0.0,0.0
204,Income,"Household Income 10000 to 14999 by Race, Two or More Races",0.0,0.0,0.0
301,Income,"Household Income 10000 to 14999 by Race, White Alone",128.0,113.0,58.0
294,Income,"Household Income 10000 to 14999 by Race, White Alone, Not Hispanic or Latino",128.0,113.0,36.0
355,Income,Household Income 100000 to 124999,695.0,771.0,862.0
147,Income,"Household Income 100000 to 124999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
322,Income,"Household Income 100000 to 124999 by Race, Asian Alone",116.0,232.0,291.0
186,Income,"Household Income 100000 to 124999 by Race, Black or African American Alone",0.0,7.0,8.0
287,Income,"Household Income 100000 to 124999 by Race, Hispanic or Latino",0.0,92.0,164.0
143,Income,"Household Income 100000 to 124999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
231,Income,"Household Income 100000 to 124999 by Race, Some Other Race Alone",22.0,110.0,119.0
230,Income,"Household Income 100000 to 124999 by Race, Two or More Races",23.0,0.0,13.0
333,Income,"Household Income 100000 to 124999 by Race, White Alone",534.0,422.0,431.0
330,Income,"Household Income 100000 to 124999 by Race, White Alone, Not Hispanic or Latino",534.0,412.0,399.0
350,Income,Household Income 125000 to 149999,698.0,719.0,606.0
156,Income,"Household Income 125000 to 149999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
318,Income,"Household Income 125000 to 149999 by Race, Asian Alone",313.0,308.0,251.0
195,Income,"Household Income 125000 to 149999 by Race, Black or African American Alone",0.0,0.0,0.0
279,Income,"Household Income 125000 to 149999 by Race, Hispanic or Latino",13.0,13.0,73.0
129,Income,"Household Income 125000 to 149999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
222,Income,"Household Income 125000 to 149999 by Race, Some Other Race Alone",13.0,13.0,106.0
250,Income,"Household Income 125000 to 149999 by Race, Two or More Races",54.0,28.0,39.0
329,Income,"Household Income 125000 to 149999 by Race, White Alone",318.0,370.0,210.0
326,Income,"Household Income 125000 to 149999 by Race, White Alone, Not Hispanic or Latino",318.0,370.0,210.0
323,Income,Household Income 15000 to 19999,232.0,301.0,355.0
137,Income,"Household Income 15000 to 19999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
271,Income,"Household Income 15000 to 19999 by Race, Asian Alone",56.0,79.0,64.0
193,Income,"Household Income 15000 to 19999 by Race, Black or African American Alone",43.0,46.0,0.0
214,Income,"Household Income 15000 to 19999 by Race, Hispanic or Latino",8.0,37.0,0.0
140,Income,"Household Income 15000 to 19999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
176,Income,"Household Income 15000 to 19999 by Race, Some Other Race Alone",0.0,0.0,0.0
192,Income,"Household Income 15000 to 19999 by Race, Two or More Races",0.0,37.0,67.0
286,Income,"Household Income 15000 to 19999 by Race, White Alone",133.0,139.0,224.0
280,Income,"Household Income 15000 to 19999 by Race, White Alone, Not Hispanic or Latino",125.0,139.0,224.0
365,Income,Household Income 150000 to 199999,1510.0,1438.0,1620.0
138,Income,"Household Income 150000 to 199999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
338,Income,"Household Income 150000 to 199999 by Race, Asian Alone",571.0,435.0,690.0
201,Income,"Household Income 150000 to 199999 by Race, Black or African American Alone",0.0,62.0,0.0
298,Income,"Household Income 150000 to 199999 by Race, Hispanic or Latino",11.0,12.0,28.0
157,Income,"Household Income 150000 to 199999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,61.0,16.0
245,Income,"Household Income 150000 to 199999 by Race, Some Other Race Alone",20.0,21.0,41.0
278,Income,"Household Income 150000 to 199999 by Race, Two or More Races",31.0,29.0,17.0
347,Income,"Household Income 150000 to 199999 by Race, White Alone",888.0,830.0,856.0
345,Income,"Household Income 150000 to 199999 by Race, White Alone, Not Hispanic or Latino",877.0,818.0,856.0
324,Income,Household Income 20000 to 24999,71.0,95.0,161.0
160,Income,"Household Income 20000 to 24999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
290,Income,"Household Income 20000 to 24999 by Race, Asian Alone",55.0,66.0,30.0
185,Income,"Household Income 20000 to 24999 by Race, Black or African American Alone",0.0,11.0,0.0
211,Income,"Household Income 20000 to 24999 by Race, Hispanic or Latino",0.0,0.0,121.0
130,Income,"Household Income 20000 to 24999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
170,Income,"Household Income 20000 to 24999 by Race, Some Other Race Alone",0.0,0.0,0.0
173,Income,"Household Income 20000 to 24999 by Race, Two or More Races",0.0,0.0,42.0
285,Income,"Household Income 20000 to 24999 by Race, White Alone",16.0,18.0,89.0
277,Income,"Household Income 20000 to 24999 by Race, White Alone, Not Hispanic or Latino",16.0,18.0,10.0
321,Income,Household Income 25000 to 29999,204.0,330.0,185.0
148,Income,"Household Income 25000 to 29999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
272,Income,"Household Income 25000 to 29999 by Race, Asian Alone",82.0,127.0,96.0
188,Income,"Household Income 25000 to 29999 by Race, Black or African American Alone",0.0,0.0,14.0
225,Income,"Household Income 25000 to 29999 by Race, Hispanic or Latino",46.0,52.0,25.0
135,Income,"Household Income 25000 to 29999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
190,Income,"Household Income 25000 to 29999 by Race, Some Other Race Alone",46.0,52.0,25.0
183,Income,"Household Income 25000 to 29999 by Race, Two or More Races",0.0,0.0,0.0
282,Income,"Household Income 25000 to 29999 by Race, White Alone",76.0,151.0,50.0
274,Income,"Household Income 25000 to 29999 by Race, White Alone, Not Hispanic or Latino",76.0,151.0,50.0
314,Income,Household Income 30000 to 34999,163.0,167.0,157.0
128,Income,"Household Income 30000 to 34999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
259,Income,"Household Income 30000 to 34999 by Race, Asian Alone",42.0,0.0,62.0
182,Income,"Household Income 30000 to 34999 by Race, Black or African American Alone",0.0,0.0,0.0
197,Income,"Household Income 30000 to 34999 by Race, Hispanic or Latino",0.0,0.0,0.0
118,Income,"Household Income 30000 to 34999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
175,Income,"Household Income 30000 to 34999 by Race, Some Other Race Alone",0.0,0.0,0.0
163,Income,"Household Income 30000 to 34999 by Race, Two or More Races",0.0,0.0,0.0
270,Income,"Household Income 30000 to 34999 by Race, White Alone",121.0,167.0,95.0
262,Income,"Household Income 30000 to 34999 by Race, White Alone, Not Hispanic or Latino",121.0,167.0,95.0
308,Income,Household Income 35000 to 39999,192.0,204.0,130.0
136,Income,"Household Income 35000 to 39999 by Race, American Indian and Alaska Native Alone",0.0,34.0,34.0
246,Income,"Household Income 35000 to 39999 by Race, Asian Alone",34.0,26.0,11.0
166,Income,"Household Income 35000 to 39999 by Race, Black or African American Alone",0.0,0.0,0.0
189,Income,"Household Income 35000 to 39999 by Race, Hispanic or Latino",27.0,34.0,34.0
122,Income,"Household Income 35000 to 39999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,,0.0
169,Income,"Household Income 35000 to 39999 by Race, Some Other Race Alone",27.0,0.0,0.0
174,Income,"Household Income 35000 to 39999 by Race, Two or More Races",0.0,0.0,0.0
258,Income,"Household Income 35000 to 39999 by Race, White Alone",131.0,144.0,85.0
247,Income,"Household Income 35000 to 39999 by Race, White Alone, Not Hispanic or Latino",131.0,144.0,85.0
315,Income,Household Income 40000 to 44999,105.0,277.0,296.0
126,Income,"Household Income 40000 to 44999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
266,Income,"Household Income 40000 to 44999 by Race, Asian Alone",96.0,197.0,50.0
181,Income,"Household Income 40000 to 44999 by Race, Black or African American Alone",0.0,0.0,0.0
191,Income,"Household Income 40000 to 44999 by Race, Hispanic or Latino",0.0,33.0,54.0
413,Income,"Household Income 40000 to 44999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,
168,Income,"Household Income 40000 to 44999 by Race, Some Other Race Alone",0.0,33.0,36.0
165,Income,"Household Income 40000 to 44999 by Race, Two or More Races",0.0,0.0,27.0
269,Income,"Household Income 40000 to 44999 by Race, White Alone",9.0,47.0,183.0
263,Income,"Household Income 40000 to 44999 by Race, White Alone, Not Hispanic or Latino",9.0,47.0,183.0
312,Income,Household Income 45000 to 49999,157.0,71.0,105.0
150,Income,"Household Income 45000 to 49999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
233,Income,"Household Income 45000 to 49999 by Race, Asian Alone",30.0,20.0,33.0
187,Income,"Household Income 45000 to 49999 by Race, Black or African American Alone",0.0,0.0,0.0
203,Income,"Household Income 45000 to 49999 by Race, Hispanic or Latino",53.0,0.0,0.0
121,Income,"Household Income 45000 to 49999 by Race, Native Hawaiian and Other Pacific Islander Alone",,0.0,0.0
180,Income,"Household Income 45000 to 49999 by Race, Some Other Race Alone",0.0,0.0,0.0
171,Income,"Household Income 45000 to 49999 by Race, Two or More Races",53.0,0.0,0.0
268,Income,"Household Income 45000 to 49999 by Race, White Alone",74.0,51.0,72.0
260,Income,"Household Income 45000 to 49999 by Race, White Alone, Not Hispanic or Latino",74.0,51.0,72.0
335,Income,Household Income 50000 to 59999,330.0,424.0,300.0
154,Income,"Household Income 50000 to 59999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
296,Income,"Household Income 50000 to 59999 by Race, Asian Alone",90.0,100.0,131.0
202,Income,"Household Income 50000 to 59999 by Race, Black or African American Alone",0.0,0.0,0.0
254,Income,"Household Income 50000 to 59999 by Race, Hispanic or Latino",30.0,73.0,60.0
120,Income,"Household Income 50000 to 59999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
210,Income,"Household Income 50000 to 59999 by Race, Some Other Race Alone",0.0,0.0,0.0
196,Income,"Household Income 50000 to 59999 by Race, Two or More Races",20.0,73.0,60.0
300,Income,"Household Income 50000 to 59999 by Race, White Alone",220.0,251.0,109.0
292,Income,"Household Income 50000 to 59999 by Race, White Alone, Not Hispanic or Latino",198.0,251.0,109.0
342,Income,Household Income 60000 to 74999,258.0,249.0,320.0
152,Income,"Household Income 60000 to 74999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
306,Income,"Household Income 60000 to 74999 by Race, Asian Alone",80.0,28.0,97.0
198,Income,"Household Income 60000 to 74999 by Race, Black or African American Alone",0.0,0.0,0.0
276,Income,"Household Income 60000 to 74999 by Race, Hispanic or Latino",0.0,25.0,49.0
155,Income,"Household Income 60000 to 74999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
215,Income,"Household Income 60000 to 74999 by Race, Some Other Race Alone",0.0,0.0,0.0
217,Income,"Household Income 60000 to 74999 by Race, Two or More Races",0.0,9.0,36.0
319,Income,"Household Income 60000 to 74999 by Race, White Alone",178.0,212.0,187.0
